,region,birth,death,death_children,inc_decr,marriage,divorce,year,month
6,Российская Федерация,181743,159864,1017,21879,131756,54695,2016,08
7,Центральный федеральный округ,43284,43169,215,115,35710,14295,2016,08
8,Белгородская область,1663,1767,6,-104,1395,625,2016,08
9,Брянская область,1258,1621,12,-363,1191,543,2016,08
10,Владимирская область,1494,1931,9,-437,1311,477,2016,08
11,Воронежская область,2564,2893,9,-329,1980,916,2016,08
12,Ивановская область,1037,1361,3,-324,981,376,2016,08
13,Калужская область,1127,1301,13,-174,960,418,2016,08
14,Костромская область,747,843,8,-96,620,259,2016,08
15,Курская область,1262,1506,4,-244,861,480,2016,08
16,Липецкая область,1227,1413,9,-186,922,433,2016,08
17,Московская область,8989,7861,49,1128,7038,2955,2016,08
18,Орловская область,813,1026,5,-213,646,306,2016,08
19,Рязанская область,1228,1483,2,-255,1000,426,2016,08
20,Смоленская область,961,1213,5,-252,878,403,2016,08
21,Тамбовская область,1015,1301,2,-286,882,342,2016,08
22,Тверская область,1324,1909,8,-585,1208,504,2016,08
23,Тульская область,1491,2020,8,-529,1327,556,2016,08
24,Ярославская область,1540,1686,6,-146,1314,495,2016,08
25,г.Москва,13544,10034,57,3510,11196,3781,2016,08
26,Северо-Западный федеральный округ,16295,15392,69,903,14517,5535,2016,08
27,Республика Карелия,715,834,4,-119,637,257,2016,08
28,Республика Коми,1019,850,4,169,622,339,2016,08
29,Архангельская область,1269,1279,7,-10,952,420,2016,08
30,Hенецкий авт.округ,69,30,0,39,18,17,2016,08
32,Вологодская область,1557,1583,8,-26,1101,408,2016,08
33,Калининградская область,1212,1068,5,144,1008,507,2016,08
34,Ленинградская область,1654,2201,9,-547,1145,649,2016,08
35,Мурманская область,759,732,3,27,526,319,2016,08
36,Новгородская область,683,902,6,-219,655,250,2016,08
37,Псковская область,702,992,3,-290,618,281,2016,08
38,г.Санкт-Петербург,6725,4951,20,1774,7253,2105,2016,08
39,Южный федеральный округ,19891,18178,133,1713,12866,6345,2016,08
40,Республика Адыгея,519,465,3,54,264,164,2016,08
41,Республика Калмыкия,322,240,3,82,188,103,2016,08
42,Республика Крым,2338,2462,14,-124,1513,613,2016,08
43,Краснодарский край,7095,5755,36,1340,4470,2256,2016,08
44,Астраханская область,1390,1069,10,321,814,398,2016,08
45,Волгоградская область,2842,2886,20,-44,1965,971,2016,08
46,Ростовская область,4882,4784,45,98,3215,1635,2016,08
48,Северо-Кавказский федеральный округ,14746,6198,123,8548,6540,2080,2016,08
49,Республика Дагестан,4760,1284,37,3476,2240,480,2016,08
50,Республика Ингушетия,792,120,8,672,187,30,2016,08
51,Кабардино-Балкарская Республика,1210,564,7,646,567,196,2016,08
52,Карачаево-Черкесская Республика,497,340,4,157,265,129,2016,08
53,Республика Северная Осетия- Алания,935,607,10,328,338,140,2016,08
54,Чеченская Республика,2942,556,26,2386,920,126,2016,08
55,Ставропольский край,3610,2727,31,883,2023,979,2016,08
56,Приволжский федеральный округ,37310,35634,180,1676,27357,10514,2016,08
57,Республика Башкортостан,5497,4963,20,534,3689,1517,2016,08
58,Республика Марий Эл,934,800,3,134,565,199,2016,08
59,Республика Мордовия,723,908,1,-185,565,239,2016,08
60,Республика Татарстан(Татарстан),5177,4062,25,1115,4002,1099,2016,08
61,Удмуртская Республика,2040,1731,11,309,1270,485,2016,08
62,Чувашская Республика(Чувашия),1631,1432,5,199,986,384,2016,08
63,Пермский край,3608,3298,24,310,2417,954,2016,08
64,Кировская область,1702,1622,7,80,1085,484,2016,08
65,Hижегородская область,4001,4256,20,-255,3139,1180,2016,08
66,Оренбургская область,2587,2546,18,41,1889,834,2016,08
67,Пензенская область,1306,1610,5,-304,1088,500,2016,08
68,Самарская область,4085,3846,14,239,3159,1273,2016,08
69,Саратовская область,2577,2905,18,-328,2226,928,2016,08
70,Ульяновская область,1442,1655,9,-213,1277,438,2016,08
71,Уральский федеральный округ,17033,13511,85,3522,11198,5297,2016,08
72,Курганская область,1031,1162,4,-131,704,383,2016,08
73,Свердловская область,5948,5505,38,443,4042,1857,2016,08
74,Тюменская область,5275,2602,24,2673,3180,1574,2016,08
75,Ханты-Мансийский авт.округ-Югра,2409,891,8,1518,1328,733,2016,08
76,Ямало-Hенецкий авт.округ,685,253,5,432,356,209,2016,08
78,Челябинская область,4779,4242,19,537,3272,1483,2016,08
79,Сибирский федеральный округ,25311,21148,162,4163,17805,7814,2016,08
80,Республика Алтай,346,188,4,158,210,78,2016,08
81,Республика Бурятия,1542,948,9,594,727,323,2016,08
82,Республика Тыва,716,287,5,429,226,49,2016,08
83,Республика Хакасия,768,539,9,229,497,203,2016,08
84,Алтайский край,2717,2751,25,-34,2058,1023,2016,08
85,Забайкальский край,1504,1126,7,378,863,438,2016,08
86,Красноярский край,3709,3004,24,705,2589,1243,2016,08
87,Иркутская область,3392,2772,18,620,2342,1006,2016,08
88,Кемеровская область,3013,3258,21,-245,2467,1081,2016,08
89,Новосибирская область,3786,3038,22,748,2882,1142,2016,08
90,Омская область,2418,2221,14,197,1824,762,2016,08
91,Томская область,1400,1016,4,384,1120,466,2016,08
92,Дальневосточный федеральный округ,7873,6634,50,1239,5763,2815,2016,08
93,Республика Саха (Якутия),1399,726,12,673,803,358,2016,08
94,Камчатский край,392,337,6,55,254,167,2016,08
95,Приморский край,2247,2328,10,-81,1930,847,2016,08
96,Хабаровский край,1725,1389,9,336,1257,646,2016,08
97,Амурская область,1034,915,7,119,753,348,2016,08
98,Магаданская область,146,151,0,-5,111,98,2016,08
99,Сахалинская область,645,549,2,96,469,248,2016,08
100,Еврейская автономная область,218,204,3,14,149,89,2016,08
101,Чукотский авт.округ,67,35,1,32,37,14,2016,08
