,region,birth,death,death_children,inc_decr,marriage,divorce
7,Белгородская область,1035,1646,2,-611,991,539
8,Брянская область,797,1464,6,-667,646,426
9,Владимирская область,1000,1750,10,-750,762,452
10,Воронежская область,1599,2601,9,-1002,1456,760
11,Ивановская область,744,1296,3,-552,499,353
12,Калужская область,801,1176,3,-375,609,412
13,Костромская область,478,769,4,-291,292,200
14,Курская область,747,1336,5,-589,635,395
15,Липецкая область,820,1294,3,-474,748,371
16,Московская область,6604,7036,29,-432,5063,2833
17,Орловская область,492,942,4,-450,429,231
18,Рязанская область,812,1386,9,-574,703,405
19,Смоленская область,633,1095,4,-462,530,340
20,Тамбовская область,640,1296,2,-656,525,330
21,Тверская область,921,1699,7,-778,673,465
22,Тульская область,1028,1948,4,-920,923,540
23,Ярославская область,962,1446,4,-484,636,392
24,г.Москва,10463,9517,68,946,7576,3918
26,Республика Карелия,507,674,4,-167,262,224
27,Республика Коми,694,722,6,-28,423,355
28,Архангельская область,975,1124,8,-149,555,380
29,Hенецкий авт.округ,62,28,1,34,19,8
30,Архангельская область без автономии,913,1096,7,-183,536,372
31,Вологодская область,1095,1300,10,-205,488,409
32,Калининградская область,821,877,7,-56,630,383
33,Ленинградская область,1180,1860,7,-680,633,643
34,Мурманская область,579,600,2,-21,503,351
35,Новгородская область,496,801,3,-305,354,208
36,Псковская область,453,875,3,-422,367,232
37,г.Санкт-Петербург,5285,4729,27,556,3778,2097
39,Республика Адыгея,332,427,2,-95,232,140
40,Республика Калмыкия,239,196,0,43,169,99
41,Республика Крым,1470,2124,7,-654,1246,558
42,Краснодарский край,4483,5452,17,-969,3893,2043
43,Астраханская область,851,919,9,-68,758,336
44,Волгоградская область,1731,2647,7,-916,1543,819
45,Ростовская область,2972,4396,22,-1424,2778,1439
48,Республика Дагестан,3586,1347,36,2239,1287,386
49,Республика Ингушетия,577,137,6,440,158,33
50,Кабардино-Балкарская Республика,818,585,5,233,441,186
51,Карачаево-Черкесская Республика,396,362,3,34,197,128
52,Республика Северная Осетия- Алания,663,565,6,98,308,168
53,Чеченская Республика,2144,518,18,1626,554,100
54,Ставропольский край,2278,2526,25,-248,1524,776
56,Республика Башкортостан,3743,3891,43,-148,2145,1225
57,Республика Марий Эл,623,678,8,-55,296,184
58,Республика Мордовия,479,928,2,-449,421,203
59,Республика Татарстан(Татарстан),3636,3463,22,173,1988,1070
60,Удмуртская Республика,1350,1360,4,-10,706,390
61,Чувашская Республика(Чувашия),1021,1234,4,-213,499,295
62,Пермский край,2413,2686,5,-273,1373,940
63,Кировская область,1045,1410,8,-365,496,371
64,Hижегородская область,2490,3742,14,-1252,1845,1114
65,Оренбургская область,1701,2034,12,-333,1149,651
66,Пензенская область,831,1508,3,-677,715,392
67,Самарская область,2492,3381,12,-889,1806,1140
68,Саратовская область,1678,2640,9,-962,1243,769
69,Ульяновская область,934,1344,7,-410,672,407
71,Курганская область,737,1047,6,-310,437,321
72,Свердловская область,4116,4349,17,-233,2446,1496
73,Тюменская область,4007,2154,21,1853,2541,1649
74,Ханты-Мансийский авт.округ-Югра,1808,723,12,1085,1194,815
75,Ямало-Hенецкий авт.округ,615,191,3,424,465,289
76,Тюменская область без автономии,1584,1240,6,344,882,545
77,Челябинская область,3134,3557,18,-423,1871,1257
79,Республика Алтай,272,142,3,130,100,67
80,Республика Бурятия,1128,757,10,371,544,270
81,Республика Тыва,539,177,3,362,144,42
82,Республика Хакасия,540,513,1,27,322,188
83,Алтайский край,1947,2685,16,-738,1068,905
84,Забайкальский край,1026,967,5,59,655,392
85,Красноярский край,2647,2665,15,-18,1744,1110
86,Иркутская область,2428,2365,14,63,1566,889
87,Кемеровская область,2155,3136,20,-981,1358,1009
88,Новосибирская область,2569,2819,16,-250,1522,1085
89,Омская область,1790,1947,14,-157,1144,653
90,Томская область,945,943,3,2,497,386
92,Республика Саха (Якутия),1021,597,5,424,580,310
93,Камчатский край,261,294,3,-33,196,164
94,Приморский край,1632,1987,7,-355,1288,759
95,Хабаровский край,1213,1355,9,-142,836,557
96,Амурская область,686,781,2,-95,468,317
97,Магаданская область,115,156,0,-41,94,63
98,Сахалинская область,475,459,0,16,299,246
99,Еврейская автономная область,141,159,2,-18,112,75
100,Чукотский авт.округ,41,28,1,13,38,20
