,Unnamed: 0,name,inn,start_date,region,city,street,house,end_date
0,0,МУЗ ПЕРИНАТАЛЬНЫЙ ЦЕНТР,1650042458,21.08.2002,,,,,28.02.2011
1,1,ГБУ ПЕРИНАТАЛЬНЫЙ ЦЕНТР,4501170427,13.09.2011,курганская область, ГОРОД КУРГАН, УЛИЦА КАРБЫШЕВА, 39,
2,2,КГБУЗ ПЕРИНАТАЛЬНЫЙ ЦЕНТР,2722912088,09.12.2002,хабаровский край, ГОРОД ХАБАРОВСК, УЛИЦА ИСТОМИНА, 85,
3,3,ГБУ РМЭ ПЕРИНАТАЛЬНЫЙ ЦЕНТР,1215043736,29.10.2002,марий эл республика, ГОРОД ЙОШКАР-ОЛА, БУЛЬВАР ПОБЕДЫ, 19,
4,4,ОГАУЗ БРАТСКИЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР,3804005540,06.08.2002,иркутская область, ГОРОД БРАТСК, ЦЕНТРАЛЬНЫЙ, УЛИЦА РЯБИКОВА,
5,5,ООО МФ ПЕРИНАТАЛЬНЫЙ ЦЕНТР,5052003562,27.11.2002,московская область, ГОРОД ФРЯЗИНО, УЛИЦА ПОЛЕВАЯ, 6,17.12.2018
6,6,МУЗ ПЕРИНАТАЛЬНЫЙ ЦЕНТР Г. ОРСКА,5614028945,17.11.2006,,,,,24.06.2014
7,7,ГБУЗ ТО ПЕРИНАТАЛЬНЫЙ ЦЕНТР (Г.ТЮМЕНЬ),7202070194,03.10.2002,тюменская область, ГОРОД ТЮМЕНЬ, УЛИЦА ДАУДЕЛЬНАЯ, 1,
8,8,ОГАУЗ АНГАРСКИЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР,3801013663,06.02.2003,иркутская область, ГОРОД АНГАРСК, МИКРОРАЙОН 22, 22,
9,9,АНО ПЕРИНАТАЛЬНЫЙ ЦЕНТР,266057848,13.01.2018,башкортостан республика, ГОРОД САЛАВАТ, УЛИЦА СОВЕТСКАЯ, ДОМ 2,
10,10,ООО КУБАНСКИЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР,2308149776,05.09.2008,,,,,14.12.2011
11,11,ГУЗ КЛИНИЧЕСКИЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР САРАТОВСКОЙ ОБЛАСТИ,6452951010,28.12.2010,саратовская область, ГОРОД САРАТОВ, УЛИЦА ЗЕРНОВАЯ, 33,
12,12,ГБУЗ ТО ПЕРИНАТАЛЬНЫЙ ЦЕНТР (Г.ТОБОЛЬСК),7206032376,27.03.2006,тюменская область, ГОРОД ТОБОЛЬСК, МИКРОРАЙОН 3-Й Б, № 26,19.12.2013
13,13,ГУЗ ВОЛЬСКИЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР,6441004056,24.10.2002,саратовская область, ГОРОД ВОЛЬСК, УЛИЦА ЛЬВОВА РОЩА, 1 В,11.02.2019
14,14,ГУЗ ПЕРИНАТАЛЬНЫЙ ЦЕНТР ЧИТИНСКОЙ ОБЛАСТИ,7536038136,15.12.2002,,,,,13.01.2004
15,15,АНО ОБЛАСТНОЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР,7203166999,14.10.2005,тюменская область, ГОРОД ТЮМЕНЬ, УЛИЦА ЭНЕРГЕТИКОВ, 26,10.11.2006
16,16,ГБУЗ НО ДЗЕРЖИНСКИЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР,5249049966,24.09.2002,нижегородская область, ГОРОД ДЗЕРЖИНСК, ПРОСПЕКТ ЦИОЛКОВСКОГО, ДОМ 89,
17,17,ГУЗ ЯО РЫБИНСКИЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР,7610036804,03.10.2002,,,,,28.12.2012
18,18,МУЗ ГОРОДСКОЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР,2127320100,06.11.2002,,,,,24.12.2008
19,19,ГБУЗ ПО ПСКОВСКИЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР,6027019497,06.12.2002,псковская область, ГОРОД ПСКОВ, УЛИЦА КУЗБАССКОЙ ДИВИЗИИ, 22,
20,20,ГБУЗ ЯО ОБЛАСТНОЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР,7606079812,08.12.2010,ярославская область, ГОРОД ЯРОСЛАВЛЬ, ШОССЕ ТУТАЕВСКОЕ, ДОМ 31В,
21,21,БУ РК ПЕРИНАТАЛЬНЫЙ ЦЕНТР ИМ. О.А. ШУНГАЕВОЙ,816019824,29.02.2012,калмыкия республика, ГОРОД ЭЛИСТА, УЛИЦА В.И.ЛЕНИНА, 227,
22,22,ООО ПКЦ,5015011540,01.06.2010,московская область, ГОРОД ЗВЕНИГОРОД, УЛИЦА ЛЕРМОНТОВА, 6,
23,23,ООО СПЦ,5504109214,09.12.2005,,,,,04.12.2008
24,24,РПЦ МЗ КБР,711055776,24.12.2002,,,,,18.04.2003
25,25,ГУЗ ПЦ,6455020153,27.11.2002,саратовская область, ГОРОД САРАТОВ, УЛИЦА РАБОЧАЯ, ЗДАНИЕ 144,
26,26,ООО ППЦ,5032077397,18.03.2003,московская область, РАЙОН ОДИНЦОВСКИЙ, ГОРОД ОДИНЦОВО, ШОССЕ КРАСНОГОРСКОЕ,
27,27,ГБУЗ ПЕРИНАТАЛЬНЫЙ ЦЕНТР МИНЗДРАВА КБР,711055776,18.04.2003,кабардино-балкарская республика, ГОРОД НАЛЬЧИК, КУРОРТНЫЙ ПОСЕЛОК ВОЛЬНЫЙ АУЛ, УЛИЦА ШОГЕНОВА,
28,28,БУ НЯГАНСКИЙ ГОРОДСКОЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР,8610016616,17.02.2005,ханты-мансийский автономный округ - югра автономный округ, ГОРОД НЯГАНЬ, МИКРОРАЙОН 2-Й, 29,31.12.2014
29,29,ГБУЗ РТ ПЕРИНАТАЛЬНЫЙ ЦЕНТР РТ,1701026425,18.12.2002,тыва республика, ГОРОД КЫЗЫЛ, УЛИЦА ОЮНА КУРСЕДИ, 159 А,
30,30,БУ ПРЕЗИДЕНТСКИЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР МИНЗДРАВА ЧУВАШИИ,2128041445,06.11.2002,чувашская республика - чувашия, ГОРОД ЧЕБОКСАРЫ, ПРОСПЕКТ МОСКОВСКИЙ, 9,
31,31,ГУЗ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 1 (ПЕРИНАТАЛЬНЫЙ ЦЕНТР),7328013620,04.12.2002,ульяновская область, ГОРОД УЛЬЯНОВСК, ПРОСПЕКТ ВРАЧА СУРОВА, 4,
32,32,БУ СУРГУТСКИЙ КЛИНИЧЕСКИЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР,8602000806,27.12.2002,ханты-мансийский автономный округ - югра автономный округ, ГОРОД СУРГУТ, УЛИЦА ГУБКИНА, ДОМ 1/2,
33,33,БУ НИЖНЕВАРТОВСКИЙ ОКРУЖНОЙ КЛИНИЧЕСКИЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР,8603112823,31.12.2003,ханты-мансийский автономный округ - югра автономный округ, ГОРОД НИЖНЕВАРТОВСК, УЛИЦА ЛЕНИНА, ДОМ 20,
34,34,КОГБУЗ КИРОВСКИЙ ОБЛАСТНОЙ КЛИНИЧЕСКИЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР  КОГБУЗ КОКПЦ,4347004009,12.03.2003,кировская область, ГОРОД КИРОВ, УЛИЦА МОСКОВСКАЯ, 163,
35,35,ПЕРВИЧНАЯ ПРОФСОЮЗНАЯ ОРГАНИЗАЦИЯ МУЗ ПСКОВСКИЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР,6027095152,05.12.2002,,,,,28.11.2008
36,36,БУ НОВОЧЕБОКСАРСКИЙ ГОРОДСКОЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР МИНЗДРАВСОЦРАЗВИТИЯ ЧУВАШИИ,2124019093,26.09.2002,чувашская республика - чувашия, ГОРОД НОВОЧЕБОКСАРСК, УЛИЦА ВИНОКУРОВА, 93,26.02.2013
37,37,ПЕРВИЧНАЯ ПРОФСОЮЗНАЯ ОРГАНИЗАЦИЯ МУНИЦИПАЛЬНОГО УЧРЕЖДЕНИЯ ЗОНАЛЬНЫЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР Г.НОВОКУЗНЕЦКА ПРОФСОЮЗА РАБОТНИКОВ ЗДРАВООХРАНЕНИЯ РФ,4217041063,09.10.2008,,,,,09.10.2008
38,38,ГБУЗ ЗКПЦ,7536120581,12.08.2011,забайкальский край, ГОРОД ЧИТА, УЛИЦА КОХАНСКОГО, 16,
